tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
1331,532,10,12,0.5454545454545454,0.7144390767579173,0.022058823529411766,0.04240282685512367,0.0949367088607595,0.3896940418679549,0.6242547892230823
1135,728,9,13,0.5909090909090909,0.6092324208266238,0.017543859649122806,0.03407601572739188,0.07840772014475271,0.360000975943005,0.6000008132852863
1213,650,13,9,0.4090909090909091,0.6511003757380569,0.013657056145675266,0.02643171806167401,0.06024096385542169,0.2663592446201143,0.5161000335401212
1343,520,12,10,0.45454545454545453,0.7208803005904455,0.018867924528301886,0.03623188405797101,0.08090614886731391,0.3276728639047479,0.5724271690833236
1198,665,16,6,0.2727272727272727,0.6430488459473966,0.00894187779433681,0.017316017316017316,0.039525691699604744,0.17537695798565361,0.4187803218701347
1077,786,12,10,0.45454545454545453,0.5780998389694042,0.01256281407035176,0.02444987775061125,0.056561085972850686,0.26277265407700195,0.5126135523735224
1187,676,14,8,0.36363636363636365,0.6371443907675792,0.011695906432748537,0.022662889518413595,0.05181347150259068,0.2316888693700288,0.4813406998894118
1234,629,12,10,0.45454545454545453,0.6623725174449813,0.01564945226917058,0.0302571860816944,0.06877579092159561,0.30107841702044597,0.5487061299278931
1036,827,10,12,0.5454545454545454,0.5560923242082663,0.014302741358760428,0.027874564459930314,0.06472491909385113,0.30332308593178164,0.5507477516357027
1096,767,11,11,0.5,0.5882984433709071,0.014138817480719794,0.0275,0.06351039260969976,0.29414922168545354,0.5423552541327995
1056,807,11,11,0.5,0.5668276972624798,0.013447432762836185,0.026190476190476188,0.06070640176600441,0.28341384863124,0.532366273003127
1002,861,13,9,0.4090909090909091,0.537842190016103,0.010344827586206896,0.020179372197309416,0.04697286012526095,0.22002635046113309,0.4690696648272334
1105,758,15,7,0.3181818181818182,0.5931293612453032,0.009150326797385621,0.017789072426937738,0.04103165298944901,0.188722978578051,0.4344225806493615
1098,765,15,7,0.3181818181818182,0.5893719806763285,0.009067357512953367,0.017632241813602016,0.04069767441860465,0.1875274483970136,0.43304439541115597
1378,485,14,8,0.36363636363636365,0.7396672034353193,0.016227180527383367,0.031067961165048542,0.06884681583476765,0.2689698921582979,0.5186230732991909
1120,743,14,8,0.36363636363636365,0.6011808910359635,0.010652463382157125,0.02069857697283312,0.047675804529201435,0.21861123310398672,0.46755880176079107
1246,617,13,9,0.4090909090909091,0.6688137412775094,0.01437699680511182,0.027777777777777776,0.0630252100840336,0.27360562143170847,0.5230732467176165
1248,615,14,8,0.36363636363636365,0.6698872785829307,0.012841091492776886,0.024806201550387597,0.056258790436005617,0.24359537403015666,0.4935538208039288
1189,674,15,7,0.3181818181818182,0.6382179280730005,0.010279001468428781,0.01991465149359886,0.04551365409622887,0.20306934075050015,0.4506321568091875
1284,579,12,10,0.45454545454545453,0.6892109500805152,0.01697792869269949,0.03273322422258593,0.07385524372230427,0.3132777045820524,0.5597121622602571
1060,803,12,10,0.45454545454545453,0.5689747718733226,0.012300123001230012,0.02395209580838323,0.05549389567147613,0.2586248963060558,0.5085517636446223
1255,608,13,9,0.4090909090909091,0.6736446591519055,0.014586709886547812,0.028169014084507043,0.06382978723404256,0.27558190601668864,0.5249589565067813
1204,659,12,10,0.45454545454545453,0.6462694578636607,0.014947683109118086,0.028943560057887115,0.06605019815059446,0.29375884448348216,0.5419952439675851
1370,493,12,10,0.45454545454545453,0.735373054213634,0.019880715705765408,0.0380952380952381,0.08460236886632827,0.3342604791880154,0.57815264350171
1418,445,14,8,0.36363636363636365,0.7611379495437467,0.017660044150110375,0.03368421052631579,0.07393715341959334,0.27677743619772605,0.5260964134051154
1076,787,11,11,0.5,0.5775630703166935,0.013784461152882205,0.026829268292682923,0.062076749435665914,0.2887815351583468,0.5373839736709188
1181,682,14,8,0.36363636363636365,0.6339237788513151,0.011594202898550725,0.022471910112359553,0.051413881748071974,0.23051773776411458,0.4801226278401327
1228,635,17,5,0.22727272727272727,0.6591519055287172,0.0078125,0.015105740181268881,0.03434065934065934,0.14980725125652658,0.3870494170729709
1262,601,11,11,0.5,0.6774020397208803,0.017973856209150325,0.03470031545741324,0.07857142857142857,0.3387010198604402,0.5819802572772037
1049,814,10,12,0.5454545454545454,0.563070316693505,0.014527845036319613,0.02830188679245283,0.06564551422319476,0.30712926365100274,0.5541924427949219
970,893,7,15,0.6818181818181818,0.5206655931293612,0.016519823788546256,0.03225806451612903,0.07530120481927711,0.3549992680427463,0.5958181501454503
1303,560,14,8,0.36363636363636365,0.6994095544820182,0.014084507042253521,0.027118644067796613,0.06097560975609757,0.25433074708437026,0.5043121524258267
1167,696,11,11,0.5,0.6264090177133655,0.015558698727015558,0.03017832647462277,0.0691823899371069,0.3132045088566827,0.559646771505637
1303,560,13,9,0.4090909090909091,0.6994095544820182,0.015817223198594025,0.030456852791878174,0.0684931506849315,0.28612209046991655,0.5349038142226288
1160,703,10,12,0.5454545454545454,0.6226516371443908,0.016783216783216783,0.032564450474898234,0.074719800747198,0.3396281657151222,0.5827762569933012
1204,659,15,7,0.3181818181818182,0.6462694578636607,0.010510510510510511,0.020348837209302327,0.046419098143236075,0.20563119113843747,0.4534657551992625
1198,665,16,6,0.2727272727272727,0.6430488459473966,0.00894187779433681,0.017316017316017316,0.039525691699604744,0.17537695798565361,0.4187803218701347
975,888,9,13,0.5909090909090909,0.5233494363929146,0.014428412874583796,0.02816901408450704,0.06572295247724974,0.3092519396867223,0.5561042525342909
1244,619,14,8,0.36363636363636365,0.667740203972088,0.012759170653907496,0.02465331278890601,0.055944055944055944,0.24281461962621387,0.492762234374971
1212,651,13,9,0.4090909090909091,0.6505636070853462,0.013636363636363636,0.026392961876832842,0.06016042780748663,0.2661396574440053,0.5158872526473254
1123,740,9,13,0.5909090909090909,0.6027911969940956,0.017264276228419653,0.03354838709677419,0.07728894173602852,0.35619479822378375,0.5968205745647378
1209,654,15,7,0.3181818181818182,0.6489533011272142,0.01059001512859304,0.020497803806734993,0.046728971962616814,0.20648514126774992,0.4544063613856544
1258,605,14,8,0.36363636363636365,0.6752549651100376,0.013050570962479609,0.025196850393700787,0.057061340941512134,0.24554726004001368,0.49552725458849756
1378,485,14,8,0.36363636363636365,0.7396672034353193,0.016227180527383367,0.031067961165048542,0.06884681583476765,0.2689698921582979,0.5186230732991909
1131,732,13,9,0.4090909090909091,0.607085346215781,0.012145748987854251,0.023591087811271297,0.05428226779252111,0.24835309617918316,0.49835037491626627
1078,785,11,11,0.5,0.5786366076221149,0.013819095477386936,0.026894865525672374,0.062217194570135755,0.2893183038110575,0.5378831692952081
1316,547,13,9,0.4090909090909091,0.7063875469672571,0.01618705035971223,0.03114186851211073,0.06987577639751552,0.2889767237593326,0.5375655529880357
1367,496,13,9,0.4090909090909091,0.7337627482555019,0.01782178217821782,0.034155597722960146,0.07588532883642496,0.30017566974088716,0.5478828978357393
1182,681,10,12,0.5454545454545454,0.6344605475040258,0.017316017316017316,0.033566433566433566,0.07682458386683738,0.34606938954765043,0.5882766267221998
1234,629,13,9,0.4090909090909091,0.6623725174449813,0.014106583072100314,0.027272727272727275,0.061983471074380174,0.27097057531840146,0.5205483410005275
1116,747,13,9,0.4090909090909091,0.5990338164251208,0.011904761904761904,0.023136246786632387,0.0533175355450237,0.2450592885375494,0.49503463367480605
1102,761,14,8,0.36363636363636365,0.5915190552871712,0.010403120936280884,0.020227560050568902,0.046674445740956826,0.21509783828624413,0.46378641451237457
1123,740,11,11,0.5,0.6027911969940956,0.014647137150466045,0.028460543337645534,0.06555423122765197,0.30139559849704783,0.5489950805763635
1237,626,12,10,0.45454545454545453,0.6639828234031132,0.015723270440251572,0.030395136778115502,0.06906077348066297,0.30181037427414237,0.5493727098010442
1207,656,12,10,0.45454545454545453,0.6478797638217928,0.015015015015015015,0.029069767441860465,0.06631299734748011,0.2944908017371785,0.5426700671100061
1157,706,12,10,0.45454545454545453,0.6210413311862587,0.013966480446927373,0.027100271002710022,0.062189054726368154,0.28229151417557213,0.531311127472004
1287,576,15,7,0.3181818181818182,0.6908212560386473,0.012006861063464836,0.023140495867768594,0.05216095380029806,0.2198067632850241,0.4688355396991829
1258,605,15,7,0.3181818181818182,0.6752549651100376,0.011437908496732025,0.022082018927444793,0.05,0.21485385253501194,0.4635233031197158
1225,638,12,10,0.45454545454545453,0.6575415995705851,0.015432098765432098,0.029850746268656712,0.06793478260869565,0.29888254525935687,0.546701513862324
1096,767,9,13,0.5909090909090909,0.5882984433709071,0.016666666666666666,0.032418952618453865,0.0748847926267281,0.34763089835553607,0.5896023222100945
1262,601,10,12,0.5454545454545454,0.6774020397208803,0.01957585644371941,0.03779527559055118,0.08559201141226819,0.3694920216659347,0.6078585539958574
1223,640,12,10,0.45454545454545453,0.6564680622651637,0.015384615384615385,0.029761904761904764,0.06775067750677506,0.29839457375689266,0.5462550446054413
1000,863,14,8,0.36363636363636365,0.5367686527106817,0.009184845005740528,0.01791713325867861,0.04171011470281543,0.19518860098570245,0.4418015402708579
1330,533,15,7,0.3181818181818182,0.7139023081052066,0.012962962962962963,0.02491103202846975,0.055732484076433116,0.22715073439711114,0.4766033302413141
1230,633,15,7,0.3181818181818182,0.6602254428341385,0.0109375,0.021148036253776436,0.04807692307692307,0.21007173181086228,0.4583358286353602
1167,696,15,7,0.3181818181818182,0.6264090177133655,0.00995732574679943,0.019310344827586208,0.04424778761061947,0.1993119601815254,0.4464436808619038
1349,514,17,5,0.22727272727272727,0.7241009125067096,0.009633911368015413,0.018484288354898334,0.04118616144975288,0.16456838920607034,0.4056702961840691
1392,471,15,7,0.3181818181818182,0.7471819645732689,0.014644351464435146,0.027999999999999997,0.06183745583038869,0.23773971600058552,0.48758559863944456
1371,492,14,8,0.36363636363636365,0.7359098228663447,0.016,0.030651340996168584,0.06802721088435373,0.26760357195139806,0.5173041387340701
1208,655,12,10,0.45454545454545453,0.6484165324745035,0.015037593984962405,0.029112081513828235,0.06640106241699865,0.29473478748841064,0.542894821755016
1108,755,11,11,0.5,0.5947396672034353,0.014360313315926894,0.027918781725888325,0.06440281030444965,0.2973698336017176,0.5453162693352525
1360,503,14,8,0.36363636363636365,0.7300053676865271,0.015655577299412915,0.0300187617260788,0.0667779632721202,0.26545649734055526,0.5152247056775862
1230,633,12,10,0.45454545454545453,0.6602254428341385,0.015552099533437015,0.030075187969924814,0.06839945280437756,0.3001024740155176,0.5478160950679686
1407,456,15,7,0.3181818181818182,0.7552334943639292,0.01511879049676026,0.0288659793814433,0.06352087114337568,0.24030156638852287,0.4902056368387892
1245,618,16,6,0.2727272727272727,0.6682769726247987,0.009615384615384616,0.018575851393188854,0.04213483146067416,0.18225735617039965,0.4269160996851719
1174,689,9,13,0.5909090909090909,0.6301663982823403,0.018518518518518517,0.03591160220994475,0.08227848101265822,0.3723710535304738,0.6102221345792643
1232,631,12,10,0.45454545454545453,0.6612989801395599,0.015600624024960999,0.030165912518853696,0.06858710562414266,0.3005904455179818,0.5482612931057433
1117,746,15,7,0.3181818181818182,0.5995705850778315,0.009296148738379814,0.01806451612903226,0.041617122473246136,0.1907724588884009,0.4367750666972657
1297,566,13,9,0.4090909090909091,0.6961889425657541,0.01565217391304348,0.030150753768844223,0.06787330316742081,0.2848045674132631,0.5336708418241183
1143,720,12,10,0.45454545454545453,0.6135265700483091,0.0136986301369863,0.026595744680851064,0.06112469437652811,0.27887571365832237,0.5280868429134761
1250,613,13,9,0.4090909090909091,0.6709608158883521,0.014469453376205787,0.027950310559006212,0.06338028169014084,0.27448397013614406,0.5239121778849429
1467,396,17,5,0.22727272727272727,0.7874396135265701,0.012468827930174564,0.023640661938534282,0.05112474437627812,0.1789635485287659,0.423040835533363
1148,715,11,11,0.5,0.6162104133118625,0.015151515151515152,0.029411764705882356,0.06756756756756757,0.3081052066559313,0.5550722535453662
1091,772,8,14,0.6363636363636364,0.5856146001073538,0.017811704834605598,0.03465346534653465,0.08009153318077802,0.37266383643195244,0.6104619860662517
1130,733,12,10,0.45454545454545453,0.6065485775630703,0.013458950201884253,0.026143790849673203,0.060168471720818295,0.27570389889230473,0.525075136425545
1221,642,14,8,0.36363636363636365,0.6553945249597424,0.012307692307692308,0.023809523809523808,0.05420054200542006,0.23832528180354268,0.4881857042187355
1237,626,13,9,0.4090909090909091,0.6639828234031132,0.014173228346456693,0.0273972602739726,0.06224066390041494,0.27162933684672813,0.5211807141930025
1186,677,15,7,0.3181818181818182,0.6366076221148685,0.01023391812865497,0.019830028328611898,0.045336787564766834,0.20255697067291267,0.45006329629610176
1118,745,9,13,0.5909090909090909,0.6001073537305421,0.017150395778364115,0.03333333333333333,0.0768321513002364,0.3546088908407748,0.5954904624263724
1219,644,13,9,0.4090909090909091,0.654320987654321,0.013782542113323124,0.026666666666666665,0.06072874493927125,0.26767676767676774,0.5173748811807235
1183,680,14,8,0.36363636363636365,0.6349973161567365,0.011627906976744186,0.02253521126760563,0.051546391752577324,0.230908114966086,0.4805289949275548
1270,593,11,11,0.5,0.6816961889425658,0.018211920529801324,0.03514376996805112,0.07947976878612716,0.3408480944712829,0.5838219715557842
1160,703,10,12,0.5454545454545454,0.6226516371443908,0.016783216783216783,0.032564450474898234,0.074719800747198,0.3396281657151222,0.5827762569933012
1195,668,16,6,0.2727272727272727,0.6414385399892646,0.008902077151335312,0.017241379310344827,0.03937007874015748,0.17493778363343576,0.4182556438751733
1359,504,15,7,0.3181818181818182,0.7294685990338164,0.0136986301369863,0.02626641651031895,0.05843071786310517,0.2321036451471234,0.481771361900148
1168,695,15,7,0.3181818181818182,0.6269457863660762,0.009971509971509971,0.019337016574585635,0.04430379746835443,0.19948275020738787,0.4466349182580644
1244,619,15,7,0.3181818181818182,0.667740203972088,0.011182108626198083,0.021604938271604937,0.04901960784313726,0.21246279217293712,0.4609368635430856
1200,663,11,11,0.5,0.644122383252818,0.016320474777448073,0.031609195402298854,0.07217847769028872,0.32206119162640906,0.5675043538391658
1347,516,14,8,0.36363636363636365,0.7230273752012882,0.015267175572519083,0.0293040293040293,0.06535947712418301,0.26291904552774115,0.5127563217823269
1195,668,12,10,0.45454545454545453,0.6414385399892646,0.014749262536873156,0.02857142857142857,0.06527415143603132,0.29156297272239295,0.5399657143952687
