sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
0.45454545454545453,0.3166904422253923,0.006910850034554251,0.013614703880190607,0.03257328990228013,0.1439502010115419,0.3794076976176708
0.6818181818181818,0.2320494531621493,0.009202453987730062,0.018159806295399518,0.043655413271245634,0.15821553624692,0.3977631660258652
0.5454545454545454,0.25915359010936756,0.007643312101910828,0.01507537688442211,0.0361881785283474,0.14135650369601865,0.37597407316997095
0.5909090909090909,0.2791250594388968,0.008502289077828646,0.016763378465506126,0.040197897340754477,0.1649375351229845,0.4061250240049048
0.8181818181818182,0.20161673799334284,0.01060695344725987,0.020942408376963352,0.050420168067226885,0.16495914926728053,0.4061516333431155
0.6818181818181818,0.20114122681883023,0.008849557522123894,0.017472335468841003,0.04206393718452048,0.13714174555829334,0.3703265390952873
0.5,0.29719448407037563,0.007387508394895903,0.01455989410986102,0.03487634749524413,0.14859724203518784,0.3854831280810975
0.6818181818181818,0.23870660960532572,0.009282178217821782,0.018315018315018316,0.04401408450704226,0.16275450654908574,0.40342844043161574
0.8181818181818182,0.1792677127912506,0.010321100917431193,0.02038505096262741,0.049126637554585156,0.1466735831928414,0.3829798730910561
0.6363636363636364,0.29101283880171186,0.009302325581395349,0.0183366077275704,0.04394224733207784,0.18518998832836212,0.43033706362380886
0.5454545454545454,0.2757964812173086,0.007817589576547232,0.015414258188824664,0.036968576709796676,0.15043444430035016,0.38785879428001907
1.0,0.11650023775558725,0.011702127659574468,0.023133543638275498,0.05589430894308944,0.11650023775558725,0.3413213116047506
0.6818181818181818,0.16547788873038516,0.00847457627118644,0.01674107142857143,0.04036598493003229,0.11282583322526263,0.33589556892769906
0.6363636363636364,0.1887779362815026,0.00813953488372093,0.016073478760045924,0.03871681415929204,0.12013141399731984,0.3465997893786432
0.7727272727272727,0.1849738468854018,0.009820912767186597,0.01939532230462065,0.04672897196261681,0.1429343362296287,0.37806657645132913
0.6363636363636364,0.2601046124583928,0.008917197452229299,0.017587939698492462,0.0422195416164053,0.16552111701897726,0.40684286526738705
0.5909090909090909,0.24821683309557774,0.008155583437892095,0.01608910891089109,0.038644470868014265,0.14667358319284138,0.382979873091056
0.7727272727272727,0.17784117926771278,0.009736540664375716,0.019230769230769232,0.04634678298800436,0.1374227294341417,0.3707057181028392
0.6363636363636364,0.17356157869709937,0.007990867579908675,0.015783540022547914,0.03804347826086957,0.11044827735269956,0.332337595454832
0.7727272727272727,0.15501664289110795,0.00947603121516165,0.018722466960352426,0.04516471838469712,0.11978558768858341,0.3461005456346225
0.9090909090909091,0.15454113171659534,0.011123470522803115,0.021978021978021976,0.05302226935312832,0.14049193792417755,0.3748225419104053
0.7272727272727273,0.21017593913456967,0.009540846750149075,0.01883460859329017,0.04532577903682719,0.15285522846150523,0.39096704267943766
0.7272727272727273,0.2501188777936281,0.010043942247332079,0.019814241486068113,0.047590719809637125,0.18190463839536591,0.4265027999853763
0.9090909090909091,0.19067998097955302,0.011614401858304297,0.022935779816513763,0.055248618784530384,0.17334543725413912,0.4163477359781594
0.5909090909090909,0.2786495482643842,0.00849673202614379,0.01675257731958763,0.04017305315203955,0.1646565512471361,0.4057789438193363
0.6363636363636364,0.19258202567760344,0.008177570093457943,0.016147635524798153,0.03888888888888889,0.12255219815847486,0.35007456085593375
0.6363636363636364,0.19733713742272943,0.008225616921269096,0.016241299303944315,0.03910614525139665,0.12557817835991872,0.3543701149362326
0.5909090909090909,0.2700903471231574,0.008397932816537468,0.01656050955414013,0.03973105134474327,0.15959884148186573,0.3994982371448787
0.6818181818181818,0.2277698525915359,0.009151921903599756,0.018061408789885613,0.04342790966994789,0.1552976267669563,0.3940781987968331
0.6363636363636364,0.24488825487398955,0.008739076154806492,0.017241379310344827,0.04142011834319527,0.15583798037435703,0.39476319531379445
0.6818181818181818,0.19495958155016643,0.008782201405152224,0.017341040462427747,0.041759465478841865,0.132926987420568,0.3645915350369067
0.6363636363636364,0.275320970042796,0.009102730819245773,0.01794871794871795,0.043050430504305036,0.17520425366359743,0.4185740718959996
0.6363636363636364,0.2805515929624346,0.0091683038637852,0.018076178179470628,0.043343653250773995,0.17853283188518565,0.4225314566812578
0.9090909090909091,0.14740846409890632,0.011031439602868174,0.021798365122615803,0.052603892688058915,0.13400769463536938,0.36607061427458143
0.8636363636363636,0.16310033285782216,0.010680157391793142,0.02109938922820655,0.05088377075522228,0.14085937837721005,0.37531237439925963
0.8181818181818182,0.22063718497384688,0.010863005431502716,0.02144133412745682,0.05157593123209169,0.18052133316042018,0.42487802150784426
0.8181818181818182,0.24441274369947694,0.01120099564405725,0.022099447513812154,0.05309734513274337,0.1999740630268448,0.4471845961421802
0.9090909090909091,0.11412268188302425,0.010621348911311737,0.02099737532808399,0.050735667174023336,0.10374789262093115,0.322099196864772
0.7727272727272727,0.20779838326200667,0.010101010101010102,0.01994134897360704,0.04799548277809148,0.160571477975187,0.4007137107402079
0.8636363636363636,0.23395149786019973,0.011656441717791411,0.023002421307506054,0.055296856810244474,0.20204902087926338,0.44949863278909247
0.7272727272727273,0.17070851165002376,0.00909090909090909,0.017957351290684626,0.04329004329004329,0.12415164483638094,0.3523515926406193
0.5454545454545454,0.28530670470756064,0.007920792079207921,0.015614834092387769,0.037429819089207735,0.1556218389313967,0.3944893394394793
0.7272727272727273,0.2277698525915359,0.00975609756097561,0.019253910950661854,0.046296296296296294,0.16565080188475337,0.4070022136116134
0.6363636363636364,0.2582025677603424,0.008894536213468869,0.017543859649122806,0.04211793020457281,0.16431072493839968,0.40535259335348983
0.6818181818181818,0.2287208749405611,0.00916310323762981,0.018083182640144663,0.043478260869565216,0.15594605109583715,0.39490005203321654
0.7272727272727273,0.24964336661911554,0.010037641154328732,0.019801980198019802,0.047562425683709865,0.1815588120866295,0.42609718619891107
0.8181818181818182,0.1792677127912506,0.010321100917431193,0.02038505096262741,0.049126637554585156,0.1466735831928414,0.3829798730910561
0.6363636363636364,0.2786495482643842,0.009144350097975179,0.0180296200901481,0.043236565781346506,0.1773224398046081,0.42109671075016497
0.6818181818181818,0.25106990014265335,0.009433962264150943,0.018610421836228287,0.04469606674612634,0.1711840228245364,0.41374390971292424
0.8181818181818182,0.19781264859724204,0.010557184750733138,0.020845396641574986,0.05019520356943669,0.1618467124886526,0.40230176794124656
0.5454545454545454,0.20732287208749406,0.00714711137581894,0.014109347442680777,0.03395585738539898,0.11308520295681494,0.33628143415421397
0.6363636363636364,0.3095577746077033,0.009549795361527967,0.018817204301075266,0.04504504504504504,0.19699131111399298,0.4438370321570666
0.6818181818181818,0.2995720399429387,0.010080645161290322,0.01986754966887417,0.04758883248730965,0.20425366359745817,0.4519443147086355
0.6818181818181818,0.2815026153114598,0.009829619921363041,0.01937984496124031,0.046468401486988845,0.19193360134872256,0.43810227270435675
0.9090909090909091,0.17356157869709937,0.011376564277588168,0.02247191011235955,0.054171180931744306,0.15778325336099938,0.39721940204501516
0.7272727272727273,0.20304327151688065,0.009456264775413711,0.01866977829638273,0.04494382022471909,0.14766783383045864,0.3842757263091941
0.5909090909090909,0.1821207798383262,0.0075014425851125215,0.014814814814814814,0.0356946732564525,0.10761682444992005,0.3280500334551424
0.7272727272727273,0.2862577270565858,0.01054713249835201,0.02079272254710851,0.0498442367601246,0.20818743785933516,0.456275616113041
0.8636363636363636,0.18164526866381359,0.010919540229885057,0.021566401816118047,0.05196936542669585,0.1568754593005663,0.39607506775934065
0.6818181818181818,0.20732287208749406,0.0089179548156956,0.017605633802816902,0.0423728813559322,0.14135650369601865,0.37597407316997095
0.7727272727272727,0.18972895863052783,0.009877977919814061,0.019506597819850834,0.04698728579325594,0.14660874075995328,0.3828952085883986
0.7727272727272727,0.16167379933428436,0.009550561797752809,0.018867924528301886,0.045503211991434686,0.12492975403103791,0.35345403383047974
0.7272727272727273,0.2344270090347123,0.00984009840098401,0.01941747572815534,0.046674445740956826,0.17049237020706354,0.41290721743154785
0.5,0.2805515929624346,0.007217847769028871,0.014230271668822767,0.03411910669975186,0.14027579648121735,0.3745341058985381
0.6363636363636364,0.2838801711840228,0.009210526315789473,0.01815823605706874,0.04353233830845771,0.18065101802619632,0.4250306083403833
0.9090909090909091,0.16737993342843557,0.01129305477131564,0.02230897936419409,0.05379236148466918,0.1521635758440323,0.3900814989768578
0.8181818181818182,0.2244412743699477,0.010915706488781079,0.021543985637342906,0.05181347150259068,0.18363376993904815,0.4285251100449636
0.7727272727272727,0.19115549215406563,0.00989522700814901,0.01954022988505747,0.04706533776301218,0.14771106211905072,0.38433196864045893
0.8636363636363636,0.16737993342843557,0.010734463276836158,0.02120535714285714,0.051130247578040904,0.14455539705183074,0.3802044148242242
0.7727272727272727,0.2296718972895863,0.010384850335980453,0.020494273658830622,0.04927536231884058,0.17747373881468034,0.4212763212129069
0.8181818181818182,0.25344745601521634,0.011335012594458438,0.022360248447204967,0.05369928400954654,0.20736610037608608,0.4553746813076964
0.6818181818181818,0.28007608178792204,0.009810333551340745,0.01934235976789168,0.04638218923933208,0.19096096485540137,0.436990806374003
0.7272727272727273,0.21255349500713266,0.009569377990430622,0.018890200708382526,0.045454545454545456,0.15458436000518744,0.39317217603129984
0.6818181818181818,0.2577270565858298,0.00951776649746193,0.01877346683354193,0.045072115384615384,0.17572299312670217,0.4191932646485415
0.6818181818181818,0.2187351402757965,0.009047044632086852,0.017857142857142856,0.0429553264604811,0.1491375956425885,0.38618337048944573
0.7727272727272727,0.28007608178792204,0.011103853690398433,0.02189311010946555,0.05250154416306362,0.2164224268361215,0.4652122384848893
0.5454545454545454,0.21160247265810747,0.00718562874251497,0.014184397163120569,0.034129692832764506,0.11541953054078588,0.33973450007437556
0.6818181818181818,0.25059438896814074,0.009428032683846637,0.018598884066955982,0.044669446098868366,0.17085981066009598,0.41335192107947916
0.7272727272727273,0.19067998097955302,0.009313154831199068,0.01839080459770115,0.04429678848283499,0.13867634980331126,0.3723927359701197
0.6818181818181818,0.18925344745601522,0.00872093023255814,0.01722158438576349,0.04148230088495576,0.1290364414472831,0.3592164270287247
0.6363636363636364,0.24869234427009035,0.00878293601003764,0.017326732673267325,0.041617122473246136,0.15825876453551205,0.3978175015450075
0.6818181818181818,0.21445553970518308,0.008998200359928014,0.017761989342806393,0.042735042735042736,0.14621968616262482,0.3823868279146456
0.9090909090909091,0.15216357584403234,0.011092623405435386,0.021917808219178082,0.05288207297726072,0.13833052349457484,0.37192811603127673
0.7272727272727273,0.2173086067522587,0.009626955475330927,0.019002375296912115,0.04571428571428572,0.1580426230925518,0.39754574968492845
0.9090909090909091,0.1730860675225868,0.01137009664582149,0.022459292532285235,0.054141851651326484,0.15735097047507887,0.39667489267040695
0.8181818181818182,0.20970042796005706,0.010714285714285714,0.021151586368977675,0.05090497737556562,0.17157307742186484,0.4142138064114532
0.8636363636363636,0.21683309557774608,0.011404561824729893,0.022511848341232227,0.05416191562143671,0.18726494618078074,0.43274120000385996
0.7272727272727273,0.20589633856395625,0.009489916963226572,0.01873536299765808,0.04509582863585119,0.14974279168287727,0.38696613764369264
0.7727272727272727,0.2253922967189729,0.010328068043742407,0.020383693045563547,0.04901960784313727,0.17416677473738815,0.41733293032947705
0.36363636363636365,0.2781740370898716,0.005242463958060288,0.0103359173126615,0.024783147459727383,0.10115419530540785,0.31804747335171185
0.8636363636363636,0.18830242510699002,0.01100811123986095,0.021739130434782608,0.05237045203969128,0.16262482168330955,0.403267679938908
0.5909090909090909,0.2843556823585354,0.008563899868247694,0.016883116883116882,0.040473225404732256,0.16802835775731637,0.40991262210051105
0.6818181818181818,0.2268188302425107,0.009140767824497258,0.01803968731208659,0.04337767495662232,0.15464920243807548,0.3932546279932068
0.7727272727272727,0.15121255349500715,0.009433962264150943,0.01864035087719298,0.04497354497354497,0.11684606406432368,0.34182753555605155
0.6363636363636364,0.26105563480741795,0.008928571428571428,0.01761006289308176,0.04227053140096618,0.16612631305926598,0.4075859578779254
0.6363636363636364,0.2786495482643842,0.009144350097975179,0.0180296200901481,0.043236565781346506,0.1773224398046081,0.42109671075016497
0.8181818181818182,0.20304327151688065,0.010625737898465172,0.020979020979020976,0.05050505050505052,0.16612631305926598,0.4075859578779254
0.9090909090909091,0.19067998097955302,0.011614401858304297,0.022935779816513763,0.055248618784530384,0.17334543725413912,0.4163477359781594
0.8181818181818182,0.23775558725630053,0.011104256631708822,0.021911138161898967,0.0526623756582797,0.19452729866424587,0.44105248969283223
0.5909090909090909,0.1902044698050404,0.007575757575757576,0.014959723820483314,0.03603104212860311,0.11239355033934202,0.33525147328437205
